Products,Current Price,Old Price,Discount,Review,Rating,Discount Status,Price Status,Rating Status,Discount Amount,Compared Discount,Rating Category,Discount Category,Price Category,Engagement Flag
115 Piece Set Of Multifunctional Precision Screwdrivers,KES 950.00,"KES 1,525.00",38%,2,4.5,OK,OK,OK,KES 575.00,0.37704918,Average,Medium Discount,Medium Price,
Metal Decorative Hooks Key Hangers Entryway Wall Hooks Towel Hooks - Home,KES 527.00,KES 999.00,47%,14,4.1,OK,OK,OK,KES 472.00,0.472472472,Average,High Discount,Medium Price,
Portable Mini Cordless Car Vacuum Cleaner - Blue,"KES 2,199.00","KES 2,923.00",25%,24,4.6,OK,OK,OK,KES 724.00,0.247690729,Excellent,Medium Discount,High Price,
Weighing Scale Digital Bathroom Body Fat Scale USB-Black,"KES 1,580.00","KES 2,499.00",37%,7,4.7,OK,OK,OK,KES 919.00,0.367747099,Excellent,Medium Discount,Medium Price,
Portable Home Small Air Humidifier 3-Speed Fan - Green,"KES 1,740.00","KES 2,356.00",26%,5,4.8,OK,OK,OK,KES 616.00,0.261460102,Excellent,Medium Discount,High Price,
"220V 60W Electric Soldering Iron Kits With Tools, Tips, And Multimeter","KES 2,999.00","KES 3,290.00",9%,15,4.0,OK,OK,OK,KES 291.00,0.088449848,Average,Low Discount,High Price,
137 Pieces Cake Decorating Tool Set Baking Supplies,"KES 2,319.00","KES 3,032.00",24%,55,4.6,OK,OK,OK,KES 713.00,0.235158311,Excellent,Medium Discount,High Price,
Desk Foldable Fan Adjustable Fan Strong Wind 3 Gear Usb,KES 988.00,"KES 1,580.00",37%,2,4.0,OK,OK,OK,KES 592.00,0.374683544,Average,Medium Discount,Medium Price,
LASA FOLDING TABLE SERVING STAND,"KES 1,274.00","KES 2,800.00",55%,5,4.8,OK,OK,OK,"KES 1,526.00",0.545,Excellent,High Discount,Medium Price,
13 In 1 Home Repair Tools Box Kit Set,"KES 1,600.00","KES 2,929.00",45%,5,3.8,OK,OK,OK,"KES 1,329.00",0.453738477,Average,High Discount,Medium Price,
Genebre 115 In 1 Screwdriver Repairing Tool Set For IPhone Cellphone Hand Tool,KES 799.00,KES 999.00,20%,12,4.1,OK,OK,OK,KES 200.00,0.2002002,Average,Medium Discount,Medium Price,
100 Pcs Crochet Hook Tool Set Knitting Hook Set With Box,KES 990.00,"KES 1,500.00",34%,39,4.7,OK,OK,OK,KES 510.00,0.34,Excellent,Medium Discount,Medium Price,
40cm Gold DIY Acrylic Wall Sticker Clock,KES 552.00,"KES 1,035.00",47%,12,4.8,OK,OK,OK,KES 483.00,0.466666667,Excellent,High Discount,Medium Price,
LASA Digital Thermometer And Hydrometer,KES 501.00,KES 860.00,42%,6,4.5,OK,OK,OK,KES 359.00,0.41744186,Average,High Discount,Medium Price,
Multifunction Laser Level With Adjustment Tripod,"KES 1,680.00","KES 2,499.00",33%,9,4.2,OK,OK,OK,KES 819.00,0.327731092,Average,Medium Discount,High Price,
Anti-Skid Absorbent Insulation Coaster For Home Office,KES 332.00,KES 684.00,51%,2,5.0,OK,OK,OK,KES 352.00,0.514619883,Excellent,High Discount,Low Price,
Peacock Throw Pillow Cushion Case For Home Car,KES 195.00,KES 360.00,46%,2,5.0,OK,OK,OK,KES 165.00,0.458333333,Excellent,High Discount,Low Price,
LASA Aluminum Folding Truck Hand Cart - 68kg Max,"KES 2,025.00","KES 3,971.00",49%,3,5.0,OK,OK,OK,"KES 1,946.00",0.490052883,Excellent,High Discount,High Price,
LED Wall Digital Alarm Clock Study Home 12 / 24H Clock Calendar,"KES 2,999.00","KES 3,699.00",19%,5,4.6,OK,OK,OK,KES 700.00,0.189240335,Excellent,Low Discount,High Price,
3D Waterproof EVA Plastic Shower Curtain 1.8*2Mtrs,KES 998.00,"KES 1,966.00",49%,44,4.6,OK,OK,OK,KES 968.00,0.492370295,Excellent,High Discount,Medium Price,
3PCS Single Head Knitting Crochet Sweater Needle Set,KES 38.00,KES 80.00,53%,13,3.3,OK,OK,OK,KES 42.00,0.525,Average,High Discount,Low Price,
"4pcs Bathroom/Kitchen Towel Rack,Roll Paper Holder,Towel Bars,Hook","KES 1,860.00","KES 3,220.00",42%,,,OK,OK,OK,"KES 1,360.00",0.422360248,Missing,High Discount,High Price,
"LED Romantic Spaceship Starry Sky Projector,Children's Bedroom Night Light-Blue",KES 880.00,"KES 1,350.00",35%,6,4.0,OK,OK,OK,KES 470.00,0.348148148,Average,Medium Discount,Medium Price,
